Material Description,Material No,date,Plant,sales,UOM,Total Actual Cost
AMRITHA JASMINE (1X144),6010000653,18.12.2017,1007,"32,544.00",EA,"935,710.18"
AMRITHA JASMINE (1X144),6010000653,18.12.2017,1007,"25,488.00",EA,"690,495.38"
AMRITHA JASMINE (1X144),6010000653,06.01.2018,1007,"25,488.00",EA,"568,371.57"
AMRITHA JASMINE (1X144),6010000653,08.01.2018,1007,"30,528.00",EA,"719,313.83"
AMRITHA JASMINE (1X144),6010000653,15.01.2018,1007,"44,064.00",EA,"1,098,398.19"
AMRITHA JASMINE (1X144),6010000653,18.01.2018,1007,"27,360.00",EA,"638,623.02"
AMRITHA JASMINE (1X144),6010000653,19.01.2018,1007,"18,720.00",EA,"474,754.17"
AMRITHA JASMINE (1X144),6010000653,20.01.2018,1007,"26,640.00",EA,"618,650.95"
AMRITHA JASMINE (1X144),6010000653,22.01.2018,1007,"25,920.00",EA,"505,910.24"
AMRITHA JASMINE (1X144),6010000653,25.01.2018,1007,"7,920.00",EA,"147,455.92"
AMRITHA JASMINE (1X144),6010000653,30.01.2018,1007,"16,704.00",EA,"393,613.73"
AMRITHA JASMINE (1X144),6010000653,02.02.2018,1007,"58,320.00",EA,"1,232,050.38"
AMRITHA JASMINE (1X144),6010000653,07.02.2018,1007,"24,768.00",EA,"555,828.34"
AMRITHA JASMINE (1X144),6010000653,08.02.2018,1007,"25,632.00",EA,"650,130.45"
AMRITHA JASMINE (1X144),6010000653,09.02.2018,1007,"25,632.00",EA,"561,975.57"
AMRITHA JASMINE (1X144),6010000653,15.02.2018,1007,"27,360.00",EA,"653,045.52"
AMRITHA JASMINE (1X144),6010000653,20.02.2018,1007,"19,440.00",EA,"520,841.06"
AMRITHA JASMINE (1X144),6010000653,20.02.2018,1007,"12,960.00",EA,"389,464.43"
AMRITHA JASMINE (1X144),6010000653,21.02.2018,1007,"51,840.00",EA,"1,380,537.05"
AMRITHA JASMINE (1X144),6010000653,23.02.2018,1007,"5,328.00",EA,"115,746.26"
AMRITHA JASMINE (1X144),6010000653,28.02.2018,1007,"37,872.00",EA,"1,005,076.61"
AMRITHA JASMINE (1X144),6010000653,28.02.2018,1007,"25,632.00",EA,"600,838.37"
AMRITHA JASMINE (1X144),6010000653,06.03.2018,1007,720,EA,"16,605.90"
AMRITHA JASMINE (1X144),6010000653,07.03.2018,1007,"14,400.00",EA,"369,396.36"
AMRITHA JASMINE (1X144),6010000653,08.03.2018,1007,"38,304.00",EA,"949,056.04"
AMRITHA JASMINE (1X144),6010000653,13.03.2018,1007,"25,056.00",EA,"558,374.36"
AMRITHA JASMINE (1X144),6010000653,20.03.2018,1007,"9,360.00",EA,"234,093.59"
AMRITHA JASMINE (1X144),6010000653,20.03.2018,1007,"21,600.00",EA,"489,450.08"
AMRITHA JASMINE (1X144),6010000653,26.03.2018,1007,"46,656.00",EA,"1,140,894.24"
AMRITHA JASMINE (1X144),6010000653,02.04.2018,1007,"39,024.00",EA,"893,122.70"
AMRITHA JASMINE (1X144),6010000653,03.04.2018,1007,"47,520.00",EA,"1,012,603.30"
AMRITHA JASMINE (1X144),6010000653,04.04.2018,1007,"8,208.00",EA,"145,581.92"
AMRITHA JASMINE (1X144),6010000653,10.04.2018,1007,"22,608.00",EA,"491,328.54"
AMRITHA JASMINE (1X144),6010000653,17.04.2018,1007,"11,808.00",EA,"259,461.09"
AMRITHA JASMINE (1X144),6010000653,23.04.2018,1007,"28,368.00",EA,"650,742.78"
AMRITHA JASMINE (1X144),6010000653,23.04.2018,1007,"2,880.00",EA,"73,233.30"
AMRITHA JASMINE (1X144),6010000653,24.04.2018,1007,"28,080.00",EA,"603,918.30"
AMRITHA JASMINE (1X144),6010000653,28.04.2018,1007,"21,600.00",EA,"508,841.97"
AMRITHA JASMINE (1X144),6010000653,02.05.2018,1007,"4,464.00",EA,"102,178.96"
AMRITHA JASMINE (1X144),6010000653,02.05.2018,1007,"33,984.00",EA,"816,297.23"
AMRITHA JASMINE (1X144),6010000653,03.05.2018,1007,"27,504.00",EA,"570,341.25"
AMRITHA JASMINE (1X144),6010000653,09.05.2018,1007,"21,888.00",EA,"440,452.74"
AMRITHA JASMINE (1X144),6010000653,10.05.2018,1007,"30,672.00",EA,"648,685.77"
AMRITHA JASMINE (1X144),6010000653,11.05.2018,1007,"24,048.00",EA,"540,250.51"
AMRITHA JASMINE (1X144),6010000653,12.05.2018,1007,"36,144.00",EA,"717,552.76"
AMRITHA JASMINE (1X144),6010000653,23.05.2018,1007,"32,544.00",EA,"725,461.94"
AMRITHA JASMINE (1X144),6010000653,23.05.2018,1007,"26,784.00",EA,"625,930.55"
AMRITHA JASMINE (1X144),6010000653,25.05.2018,1007,"5,904.00",EA,"132,727.24"
AMRITHA JASMINE (1X144),6010000653,04.06.2018,1007,"40,608.00",EA,"975,321.40"
AMRITHA JASMINE (1X144),6010000653,06.06.2018,1007,"26,496.00",EA,"607,411.61"
AMRITHA JASMINE (1X144),6010000653,08.06.2018,1007,"29,376.00",EA,"713,100.31"
AMRITHA JASMINE (1X144),6010000653,09.06.2018,1007,"27,216.00",EA,"645,502.33"
AMRITHA JASMINE (1X144),6010000653,18.06.2018,1007,"29,952.00",EA,"686,400.78"
AMRITHA JASMINE (1X144),6010000653,20.06.2018,1007,"23,040.00",EA,"568,146.44"
AMRITHA JASMINE (1X144),6010000653,23.06.2018,1007,"23,328.00",EA,"456,602.17"
AMRITHA JASMINE (1X144),6010000653,29.06.2018,1007,"40,320.00",EA,"984,408.40"
AMRITHA JASMINE (1X144),6010000653,30.06.2018,1007,"10,224.00",EA,"198,704.89"
AMRITHA JASMINE (1X144),6010000653,02.07.2018,1007,"7,344.00",EA,"178,527.87"
AMRITHA JASMINE (1X144),6010000653,03.07.2018,1007,"3,024.00",EA,"71,508.64"
AMRITHA JASMINE (1X144),6010000653,04.07.2018,1007,"44,640.00",EA,"1,084,074.68"
AMRITHA JASMINE (1X144),6010000653,06.07.2018,1007,"1,440.00",EA,"32,258.91"
AMRITHA JASMINE (1X144),6010000653,08.07.2018,1007,"54,720.00",EA,"1,414,991.43"
AMRITHA JASMINE (1X144),6010000653,09.07.2018,1007,"52,992.00",EA,"1,256,477.53"
AMRITHA JASMINE (1X144),6010000653,10.07.2018,1007,"4,176.00",EA,"101,461.28"
AMRITHA JASMINE (1X144),6010000653,12.07.2018,1007,"14,400.00",EA,"320,219.38"
AMRITHA JASMINE (1X144),6010000653,26.07.2018,1007,"6,912.00",EA,"146,730.04"
AMRITHA JASMINE (1X144),6010000653,26.07.2018,1007,"29,952.00",EA,"705,098.81"
AMRITHA JASMINE (1X144),6010000653,30.07.2018,1007,"13,104.00",EA,"322,987.62"
AMRITHA JASMINE (1X144),6010000653,30.07.2018,1007,"55,728.00",EA,"1,217,748.08"
AMRITHA JASMINE (1X144),6010000653,31.07.2018,1007,"30,960.00",EA,"677,483.70"
AMRITHA JASMINE (1X144),6010000653,02.08.2018,1007,"29,376.00",EA,"720,997.84"
AMRITHA JASMINE (1X144),6010000653,02.08.2018,1007,"22,032.00",EA,"506,631.02"
AMRITHA JASMINE (1X144),6010000653,05.08.2018,1007,"37,728.00",EA,"861,582.60"
AMRITHA JASMINE (1X144),6010000653,16.08.2018,1007,"4,608.00",EA,"113,012.15"
AMRITHA JASMINE (1X144),6010000653,17.08.2018,1007,"2,736.00",EA,"62,126.81"
AMRITHA JASMINE (1X144),6010000653,18.08.2018,1007,"9,216.00",EA,"207,221.60"
AMRITHA JASMINE (1X144),6010000653,21.08.2018,1007,"18,864.00",EA,"438,171.13"
AMRITHA JASMINE (1X144),6010000653,22.08.2018,1007,"10,944.00",EA,"201,827.31"
AMRITHA JASMINE (1X144),6010000653,24.08.2018,1007,"31,824.00",EA,"791,379.35"
AMRITHA JASMINE (1X144),6010000653,24.08.2018,1007,"32,688.00",EA,"787,540.48"
AMRITHA JASMINE (1X144),6010000653,27.08.2018,1007,"25,200.00",EA,"603,402.11"
AMRITHA JASMINE (1X144),6010000653,28.08.2018,1007,"13,824.00",EA,"335,642.55"
AMRITHA JASMINE (1X144),6010000653,29.08.2018,1007,"9,792.00",EA,"152,510.47"
AMRITHA JASMINE (1X144),6010000653,08.09.2018,1007,"24,336.00",EA,"563,208.96"
AMRITHA JASMINE (1X144),6010000653,10.09.2018,1007,"16,560.00",EA,"394,759.34"
AMRITHA JASMINE (1X144),6010000653,11.09.2018,1007,"28,368.00",EA,"761,516.08"
AMRITHA JASMINE (1X144),6010000653,12.09.2018,1007,"49,248.00",EA,"1,157,975.08"
AMRITHA JASMINE (1X144),6010000653,13.09.2018,1007,"21,888.00",EA,"370,585.48"
AMRITHA JASMINE (1X144),6010000653,08.10.2018,1007,"49,248.00",EA,"1,102,990.99"
AMRITHA JASMINE (1X144),6010000653,09.10.2018,1007,"24,480.00",EA,"538,122.75"
AMRITHA JASMINE (1X144),6010000653,11.10.2018,1007,"7,344.00",EA,"158,993.91"
AMRITHA JASMINE (1X144),6010000653,12.10.2018,1007,"47,376.00",EA,"1,015,167.82"
AMRITHA JASMINE (1X144),6010000653,15.10.2018,1007,"27,504.00",EA,"558,505.07"
AMRITHA JASMINE (1X144),6010000653,16.10.2018,1007,"16,560.00",EA,"384,381.53"
AMRITHA JASMINE (1X144),6010000653,19.10.2018,1007,"39,168.00",EA,"832,918.73"
AMRITHA JASMINE (1X144),6010000653,19.10.2018,1007,"11,952.00",EA,"177,172.71"
AMRITHA JASMINE (1X144),6010000653,23.10.2018,1007,"18,864.00",EA,"422,198.74"
AMRITHA JASMINE (1X144),6010000653,23.10.2018,1007,"13,680.00",EA,"287,886.17"
AMRITHA JASMINE (1X144),6010000653,29.10.2018,1007,"9,792.00",EA,"204,331.28"
AMRITHA JASMINE (1X144),6010000653,29.10.2018,1007,"27,216.00",EA,"578,585.81"
AMRITHA JASMINE (1X144),6010000653,30.10.2018,1007,"20,736.00",EA,"437,716.14"
AMRITHA JASMINE (1X144),6010000653,31.10.2018,1007,"17,424.00",EA,"357,807.60"
AMRITHA JASMINE (1X144),6010000653,31.10.2018,1007,"14,976.00",EA,"315,055.13"
AMRITHA JASMINE (1X144),6010000653,18.11.2018,1007,"23,760.00",EA,"555,316.78"
AMRITHA JASMINE (1X144),6010000653,18.11.2018,1007,"27,072.00",EA,"598,794.02"
AMRITHA JASMINE (1X144),6010000653,27.11.2018,1007,"5,184.00",EA,"116,579.66"
AMRITHA JASMINE (1X144),6010000653,30.11.2018,1007,"8,640.00",EA,"201,709.39"
AMRITHA JASMINE (1X144),6010000653,30.11.2018,1007,"14,976.00",EA,"348,677.91"
AMRITHA JASMINE (1X144),6010000653,03.12.2018,1007,"10,800.00",EA,"255,432.54"
AMRITHA JASMINE (1X144),6010000653,03.12.2018,1007,"14,688.00",EA,"347,009.62"
AMRITHA JASMINE (1X144),6010000653,05.12.2018,1007,"44,064.00",EA,"1,040,052.41"
AMRITHA JASMINE (1X144),6010000653,06.12.2018,1007,"18,720.00",EA,"441,995.71"
AMRITHA JASMINE (1X144),6010000653,07.12.2018,1007,"10,800.00",EA,"257,229.56"
AMRITHA JASMINE (1X144),6010000653,08.12.2018,1007,"8,640.00",EA,"203,646.51"
AMRITHA JASMINE (1X144),6010000653,12.12.2018,1007,"1,152.00",EA,"26,947.70"
AMRITHA JASMINE (1X144),6010000653,12.12.2018,1007,"21,888.00",EA,"524,479.45"
AMRITHA JASMINE (1X144),6010000653,13.12.2018,1007,"19,008.00",EA,"393,426.44"
AMRITHA JASMINE (1X144),6010000653,17.12.2018,1007,"2,304.00",EA,"54,272.75"
AMRITHA JASMINE (1X144),6010000653,18.12.2018,1007,"21,168.00",EA,"550,372.50"
AMRITHA JASMINE (1X144),6010000653,27.12.2018,1007,"2,304.00",EA,"55,184.43"
AMRITHA JASMINE (1X144),6010000653,27.12.2018,1007,"7,056.00",EA,"165,389.91"
AMRITHA JASMINE (1X144),6010000653,28.12.2018,1007,"34,128.00",EA,"809,179.79"
